,ground_truth,logits,image_name
0,A,"[5.61543607711792, -1.553024172782898, -1.1202317476272583, 0.8012062907218933]",0.png
1,A,"[7.3669586181640625, -1.9890692234039307, -1.2878390550613403, -0.09782849997282028]",1.png
2,A,"[6.049956798553467, -1.8158576488494873, -0.8322192430496216, 0.6475365161895752]",2.png
3,A,"[6.174298286437988, -1.4497454166412354, -1.2160180807113647, 0.2429729700088501]",3.png
4,A,"[8.074834823608398, -1.7054316997528076, -1.7147246599197388, -0.39344727993011475]",4.png
5,A,"[7.2026848793029785, -1.3435375690460205, -1.3633612394332886, -0.48970508575439453]",5.png
6,A,"[7.146324157714844, -2.0489132404327393, -1.2937507629394531, 0.09357018023729324]",6.png
7,A,"[7.104514122009277, -2.1509695053100586, -1.0876630544662476, 0.10786957293748856]",7.png
8,A,"[7.853054523468018, -2.048346757888794, -1.4071249961853027, -0.19998091459274292]",8.png
9,A,"[7.211799144744873, -2.0081136226654053, -1.2682819366455078, -0.02288990467786789]",9.png
10,A,"[6.88561487197876, -1.6593830585479736, -1.5991426706314087, 0.2588846683502197]",10.png
11,A,"[6.129967212677002, -1.399535894393921, -1.730461597442627, 0.8030672073364258]",11.png
12,A,"[6.906222343444824, -1.429260015487671, -1.629517674446106, -0.011946969665586948]",12.png
13,A,"[6.626927852630615, -2.366114854812622, -1.4480860233306885, 1.1227408647537231]",13.png
14,A,"[3.506408452987671, -2.251023054122925, -0.17380115389823914, 2.892099142074585]",14.png
15,A,"[6.355836391448975, -1.9925627708435059, -1.337168574333191, 1.1241422891616821]",15.png
16,A,"[5.281487941741943, -1.8284939527511597, -1.0297822952270508, 1.4505950212478638]",16.png
17,A,"[5.0010151863098145, -1.2651818990707397, -0.7041751146316528, 0.9166725873947144]",17.png
18,A,"[4.840692043304443, -1.3180701732635498, -0.353366494178772, 0.5841341614723206]",18.png
19,A,"[6.042652130126953, -1.5461959838867188, -1.066402554512024, 0.5148974657058716]",19.png
20,A,"[5.779366970062256, -1.767242193222046, -1.3865373134613037, 1.0863220691680908]",20.png
21,A,"[7.266313076019287, -1.9243305921554565, -1.4109716415405273, 0.4430137872695923]",21.png
22,A,"[6.742186069488525, -1.5902423858642578, -1.3173246383666992, 0.36255115270614624]",22.png
23,A,"[6.914917469024658, -1.7679095268249512, -1.531363606452942, 0.45251989364624023]",23.png
24,A,"[6.097255229949951, -1.6838665008544922, -1.2730605602264404, 0.8313735723495483]",24.png
25,A,"[6.367749214172363, -1.7437553405761719, -1.2670247554779053, 0.7656674385070801]",25.png
26,A,"[6.750755310058594, -1.8814301490783691, -1.3642258644104004, 0.7813125252723694]",26.png
27,A,"[6.335510730743408, -2.306016206741333, -0.5665356516838074, 0.8995869159698486]",27.png
28,A,"[6.073208332061768, -1.7279101610183716, -0.6178220510482788, 0.545331597328186]",28.png
29,A,"[6.646922588348389, -2.054685354232788, -0.9963068962097168, 0.7300336360931396]",29.png
30,A,"[3.833712100982666, -1.6029236316680908, -0.08569874614477158, 1.622544765472412]",30.png
31,A,"[5.5534987449646, -1.2301732301712036, -1.145828366279602, 0.6290122270584106]",31.png
32,A,"[7.036376476287842, -1.4331163167953491, -1.2892471551895142, -0.24837297201156616]",32.png
33,A,"[6.685667514801025, -1.8949644565582275, -1.147535800933838, 0.4844820499420166]",33.png
34,A,"[3.922530174255371, -1.429619312286377, 0.3928714096546173, 1.0319641828536987]",34.png
35,A,"[4.592818737030029, -1.452516794204712, -0.11369343847036362, 1.0058073997497559]",35.png
36,A,"[3.9527714252471924, -2.262167453765869, 0.38242262601852417, 2.023160219192505]",36.png
37,A,"[3.4976553916931152, -2.473719835281372, -0.01644512452185154, 3.033935546875]",37.png
38,A,"[2.2924304008483887, -2.0448195934295654, -0.30306264758110046, 3.715211868286133]",38.png
39,A,"[0.5377765893936157, -2.196777105331421, 0.4184452295303345, 4.395140171051025]",39.png
40,A,"[5.661701679229736, -2.3343961238861084, -1.043097972869873, 1.422318458557129]",40.png
41,A,"[5.547053813934326, -1.682936191558838, -1.0141184329986572, 0.6400752663612366]",41.png
42,A,"[5.354554653167725, -1.5818970203399658, -1.2097086906433105, 0.9489057660102844]",42.png
43,A,"[6.2325663566589355, -1.8850221633911133, -1.3893916606903076, 0.5832121968269348]",43.png
44,A,"[5.828733921051025, -1.8342702388763428, -1.482128381729126, 1.0843044519424438]",44.png
45,A,"[5.92760705947876, -1.2826344966888428, -1.3474676609039307, 0.48799294233322144]",45.png
46,A,"[6.2092509269714355, -0.9990978837013245, -1.8719080686569214, 0.12061179429292679]",46.png
47,A,"[6.377969741821289, -1.426905632019043, -1.3885961771011353, 0.2949134111404419]",47.png
48,A,"[6.069569110870361, -1.5038799047470093, -1.5132687091827393, 0.5936217904090881]",48.png
49,A,"[5.679663181304932, -1.0567059516906738, -1.1005825996398926, 0.22041022777557373]",49.png
50,A,"[4.264584064483643, -0.6037992835044861, -1.5334149599075317, 1.1141048669815063]",50.png
51,A,"[3.432378053665161, -1.4241148233413696, -0.746825635433197, 1.83571457862854]",51.png
52,A,"[1.6224396228790283, -1.4751935005187988, 0.028158968314528465, 3.0935795307159424]",52.png
53,A,"[2.079634189605713, 0.6238526701927185, -1.0880097150802612, 1.2872456312179565]",53.png
54,A,"[3.2905166149139404, -1.1707103252410889, -0.7314442992210388, 1.7210943698883057]",54.png
55,A,"[4.047111988067627, -1.6815905570983887, -1.0572048425674438, 2.1104443073272705]",55.png
56,A,"[2.7833364009857178, -1.0844206809997559, -0.7389589548110962, 2.241738796234131]",56.png
57,A,"[3.7177233695983887, -0.9086599349975586, -0.9875283241271973, 1.5972617864608765]",57.png
58,A,"[1.5667816400527954, -0.8366405963897705, -0.5984054207801819, 2.8099522590637207]",58.png
59,A,"[4.392185688018799, -0.8550727963447571, -1.22316575050354, 1.1002453565597534]",59.png
60,A,"[3.7816901206970215, -0.5105598568916321, -1.2009354829788208, 1.0574119091033936]",60.png
61,A,"[2.49272084236145, 0.25831982493400574, -0.2483024001121521, 0.6958149671554565]",61.png
62,None,"[-1.4958853721618652, 0.551591157913208, 2.612516403198242, 0.6330039501190186]",62.png
63,None,"[-2.1505966186523438, 0.9613792300224304, 2.0514562129974365, 1.5965451002120972]",63.png
64,L,"[-3.0709807872772217, 1.1472153663635254, 6.919924259185791, -1.4915618896484375]",64.png
65,L,"[-3.1652092933654785, 0.6709916591644287, 7.620260238647461, -1.3116657733917236]",65.png
66,L,"[-2.7315280437469482, -0.9901207089424133, 8.403968811035156, -0.8742563724517822]",66.png
67,L,"[-2.682732105255127, -1.7397483587265015, 9.032822608947754, -0.551408052444458]",67.png
68,L,"[-2.7038090229034424, -1.1094870567321777, 8.500344276428223, -0.8542941212654114]",68.png
69,L,"[-2.6459836959838867, -1.8346562385559082, 9.447339057922363, -0.6432816386222839]",69.png
70,L,"[-2.0466268062591553, -1.8782062530517578, 8.186546325683594, -0.4170987904071808]",70.png
71,L,"[-2.125009536743164, -1.7807115316390991, 9.00342845916748, -0.8832719922065735]",71.png
72,L,"[-2.4870450496673584, -1.6422793865203857, 8.961588859558105, -0.7681298851966858]",72.png
73,L,"[-2.516911029815674, -1.3010764122009277, 9.135180473327637, -1.1044937372207642]",73.png
74,L,"[-2.597966194152832, -1.7891929149627686, 9.315960884094238, -0.7224955558776855]",74.png
75,L,"[-2.449127197265625, -2.2722132205963135, 9.698817253112793, -0.5529611110687256]",75.png
76,L,"[-2.227299928665161, -1.98050856590271, 8.952900886535645, -0.6509288549423218]",76.png
77,L,"[-2.6435580253601074, -1.9334354400634766, 9.753888130187988, -0.7141753435134888]",77.png
78,L,"[-2.976714611053467, -1.3731160163879395, 9.50265884399414, -0.8709074258804321]",78.png
79,L,"[-2.2330048084259033, -2.036344528198242, 9.358427047729492, -0.7459394931793213]",79.png
80,L,"[-2.8482818603515625, -1.4930284023284912, 9.62513256072998, -0.9281432628631592]",80.png
81,L,"[-2.7534971237182617, -0.9845908284187317, 9.037175178527832, -1.0747379064559937]",81.png
82,L,"[-2.833444833755493, -0.7900499701499939, 8.876971244812012, -1.1943037509918213]",82.png
83,L,"[-2.9062633514404297, -1.3074251413345337, 9.827914237976074, -1.1310878992080688]",83.png
84,L,"[-3.0616707801818848, -1.7147908210754395, 10.393450736999512, -0.9447031617164612]",84.png
85,L,"[-2.847055435180664, -1.2328381538391113, 9.754539489746094, -1.2456365823745728]",85.png
86,L,"[-2.9549059867858887, -1.7391200065612793, 10.149660110473633, -0.9074761867523193]",86.png
87,L,"[-2.584401845932007, -2.397038698196411, 10.740788459777832, -0.8414733409881592]",87.png
88,L,"[-2.486339569091797, -2.3559916019439697, 10.250179290771484, -0.7239938974380493]",88.png
89,L,"[-2.5945682525634766, -1.803508996963501, 9.551939964294434, -0.7857462167739868]",89.png
90,L,"[-2.642920732498169, -1.7636237144470215, 9.80388069152832, -0.9207598567008972]",90.png
91,L,"[-2.4455761909484863, -1.4827039241790771, 9.182169914245605, -0.9906741380691528]",91.png
92,L,"[-2.1958327293395996, -2.088045835494995, 9.119484901428223, -0.6272636651992798]",92.png
93,L,"[-2.232081651687622, -1.927459955215454, 9.111227989196777, -0.7450364232063293]",93.png
94,L,"[-2.30111026763916, -1.9367918968200684, 8.83171558380127, -0.529881477355957]",94.png
95,L,"[-2.320552349090576, -1.7631052732467651, 9.076547622680664, -0.799514889717102]",95.png
96,L,"[-2.370427370071411, -1.8182018995285034, 8.849160194396973, -0.6321479082107544]",96.png
97,L,"[-2.61851167678833, -1.527787685394287, 8.951272010803223, -0.7373862266540527]",97.png
98,L,"[-2.7768607139587402, -1.2083648443222046, 8.673151969909668, -0.7395830154418945]",98.png
99,L,"[-2.8005785942077637, -1.353870153427124, 8.055895805358887, -0.2903776466846466]",99.png
100,None,"[-3.1122536659240723, 0.6739908456802368, 4.5960516929626465, 0.589190661907196]",100.png
101,None,"[-3.0851266384124756, 2.401540517807007, -0.3680402338504791, 3.3110768795013428]",101.png
102,Y,"[-3.734355926513672, 4.293367385864258, 0.06953001767396927, 1.8238052129745483]",102.png
103,Y,"[-3.3326525688171387, 1.666465163230896, 4.914036750793457, -0.32111871242523193]",103.png
104,Y,"[-3.0595853328704834, 0.9767847657203674, 5.564550876617432, -0.35470259189605713]",104.png
105,Y,"[-2.320011854171753, 0.33863502740859985, 5.979128360748291, -0.8059301972389221]",105.png
106,Y,"[-2.9066386222839355, 0.4499039649963379, 6.259753227233887, -0.5681664943695068]",106.png
107,Y,"[-2.7266249656677246, -0.16027016937732697, 6.401315212249756, -0.4438939392566681]",107.png
108,Y,"[-2.7940962314605713, 0.33001968264579773, 5.763234615325928, -0.310309499502182]",108.png
109,Y,"[-3.09370756149292, 1.4534666538238525, 5.147568225860596, -0.491144061088562]",109.png
110,Y,"[-3.2314953804016113, 0.9399120807647705, 4.755878925323486, 0.43578338623046875]",110.png
111,Y,"[-3.2031943798065186, 2.446754217147827, 4.455905437469482, -0.6658023595809937]",111.png
112,Y,"[-3.576914072036743, 2.7240872383117676, 4.001895427703857, -0.16196155548095703]",112.png
113,Y,"[-3.6464600563049316, 2.769282817840576, 3.395341157913208, 0.2647329568862915]",113.png
114,Y,"[-3.21878719329834, 0.8438388109207153, 5.915556907653809, -0.3648061752319336]",114.png
