,ground_truth,logits,image_name
0,A,"[5.453860759735107, -0.35609567165374756, -1.715458869934082, 0.34808313846588135]",0.png
1,A,"[6.1319122314453125, -1.2350300550460815, -1.4015156030654907, 0.4311039447784424]",1.png
2,A,"[6.487679958343506, -0.8253446221351624, -1.2790014743804932, -0.5543212294578552]",2.png
3,A,"[6.638722896575928, -0.9976024031639099, -1.9621846675872803, 0.27815598249435425]",3.png
4,A,"[6.538755893707275, -1.4904131889343262, -1.2915223836898804, 0.12834978103637695]",4.png
5,A,"[7.511070728302002, -1.3897345066070557, -1.948717474937439, -0.18660420179367065]",5.png
6,A,"[7.60274076461792, -1.4044315814971924, -1.5670874118804932, -0.30168867111206055]",6.png
7,A,"[7.232141971588135, -1.6244807243347168, -1.79521906375885, 0.09951020032167435]",7.png
8,A,"[7.341933727264404, -1.6260814666748047, -1.6099623441696167, -0.15809404850006104]",8.png
9,A,"[5.687251567840576, -1.1964186429977417, -1.297668695449829, 0.5169705748558044]",9.png
10,A,"[6.294541835784912, -1.340555191040039, -1.605491042137146, 0.330015629529953]",10.png
11,A,"[6.548123836517334, -1.1868722438812256, -1.5958393812179565, -0.09061145037412643]",11.png
12,A,"[6.610284328460693, -1.466024398803711, -1.3919674158096313, -0.12855100631713867]",12.png
13,A,"[6.195210933685303, -1.1964304447174072, -1.343399167060852, -0.06646155565977097]",13.png
14,A,"[6.495938301086426, -0.9150816798210144, -1.3724201917648315, -0.5496206879615784]",14.png
15,A,"[5.852972030639648, -0.9579158425331116, -1.1299866437911987, -0.1585199534893036]",15.png
16,A,"[6.12529993057251, -0.8596057295799255, -1.6652299165725708, 0.04686886817216873]",16.png
17,A,"[6.3826518058776855, -1.2001771926879883, -1.5305068492889404, 0.005413777194917202]",17.png
18,A,"[6.628044605255127, -1.1081254482269287, -1.8077951669692993, 0.017316706478595734]",18.png
19,A,"[5.667967319488525, -0.3638302981853485, -1.8012703657150269, 0.04769337922334671]",19.png
20,A,"[7.350327014923096, -1.3471930027008057, -1.8829938173294067, -0.22636890411376953]",20.png
21,A,"[5.519048690795898, 0.7045627236366272, -1.758345365524292, -1.006629228591919]",21.png
22,A,"[5.758840560913086, 0.1591005027294159, -1.6129666566848755, -0.777536153793335]",22.png
23,A,"[6.413639545440674, -0.5213343501091003, -1.7289800643920898, -0.562030553817749]",23.png
24,A,"[5.728274822235107, -0.38257116079330444, -1.7763944864273071, -0.21773284673690796]",24.png
25,A,"[6.182473659515381, -1.1355969905853271, -1.1596401929855347, -0.33981582522392273]",25.png
26,A,"[5.222592830657959, -0.24128030240535736, -1.3214970827102661, -0.42150112986564636]",26.png
27,A,"[6.049208164215088, -0.5051074624061584, -1.4717131853103638, -0.5465818643569946]",27.png
28,A,"[5.953006267547607, 0.4892210066318512, -2.0591318607330322, -0.7803887724876404]",28.png
29,A,"[5.861043453216553, -0.5689748525619507, -1.6945793628692627, -0.18265998363494873]",29.png
30,A,"[6.542411804199219, -0.9710789322853088, -1.6794955730438232, -0.3335648775100708]",30.png
31,A,"[6.25226354598999, -0.6651492118835449, -1.8337528705596924, -0.3468186557292938]",31.png
32,A,"[4.871973514556885, 0.9954374432563782, -1.9168757200241089, -0.7104447484016418]",32.png
33,A,"[5.81237268447876, -0.025115173310041428, -1.5443233251571655, -0.7289747595787048]",33.png
34,A,"[6.694766521453857, -0.3160252273082733, -1.739395260810852, -0.7347803711891174]",34.png
35,A,"[5.879863262176514, -0.29373079538345337, -1.6128748655319214, -0.18509554862976074]",35.png
36,A,"[6.437023639678955, -0.8451467156410217, -1.7427140474319458, -0.09357237070798874]",36.png
37,A,"[7.957279205322266, -1.342134952545166, -2.1865897178649902, -0.31917816400527954]",37.png
