,score,n_frames,min_coef
7,0.9282703212250588,1,1.0
28,0.9252057305862078,3,0.6000000000000001
6,0.9248984112574377,1,1.0
10,0.9244776897405608,1,1.0
9,0.9228545683615149,1,1.0
8,0.9226505577048814,1,1.0
12,0.9211805430818277,2,0.1
3,0.9211004109334209,1,1.0
5,0.9196666353440428,1,1.0
0,0.9196569148758715,1,1.0
19,0.9184124317725088,2,0.8
16,0.9179951689819614,2,0.5
20,0.9178210584693325,2,0.9
13,0.9171337947722613,2,0.2
2,0.916881401477234,1,1.0
27,0.9166085864894076,3,0.5
15,0.916312067966973,2,0.4
11,0.9158740139479858,2,0.0
34,0.9158506205096526,4,0.1
21,0.9156696700639129,2,1.0
22,0.9152694121905108,3,0.0
18,0.9147669326254659,2,0.7000000000000001
37,0.9143011237128885,4,0.4
1,0.9142229434518393,1,1.0
29,0.9141653445423008,3,0.7000000000000001
33,0.91382050931776,4,0.0
4,0.9137624211824782,1,1.0
26,0.9125788249963345,3,0.4
54,0.9125331745755008,5,1.0
23,0.9122539492404679,3,0.1
43,0.9122521342629568,4,1.0
30,0.9121292610885898,3,0.8
25,0.9098447043129745,3,0.30000000000000004
47,0.9093452217848629,5,0.30000000000000004
68,0.9092591129661678,7,0.2
45,0.9067451116277667,5,0.1
46,0.9066949547501071,5,0.2
50,0.9062609649427282,5,0.6000000000000001
36,0.9049436604819178,4,0.30000000000000004
44,0.9046664444392292,5,0.0
24,0.904352796059943,3,0.2
38,0.9037223162829277,4,0.5
63,0.9031390645975547,6,0.8
49,0.9030712168719746,5,0.5
69,0.9028442313590015,7,0.30000000000000004
60,0.9028104734215884,6,0.5
65,0.9025496042107795,6,1.0
48,0.9024722917727583,5,0.4
55,0.9021123474081477,6,0.0
61,0.9013252081069891,6,0.6000000000000001
31,0.9010787562930304,3,0.9
74,0.9008529289453013,7,0.8
51,0.9007133202374205,5,0.7000000000000001
14,0.900424814697036,2,0.30000000000000004
32,0.9003582534521346,3,1.0
52,0.9002696568391718,5,0.8
17,0.9001670366169072,2,0.6000000000000001
53,0.9000121079655841,5,0.9
64,0.899700137000129,6,0.9
78,0.8996878284904477,8,0.1
35,0.8995967756057631,4,0.2
67,0.8984776858261793,7,0.1
77,0.898109137805654,8,0.0
86,0.8980228680357687,8,0.9
59,0.8979573749441776,6,0.4
41,0.8978484388186745,4,0.8
40,0.897503665799562,4,0.7000000000000001
42,0.8973263943983356,4,0.9
56,0.8972872408794869,6,0.1
90,0.8971025110092293,9,0.2
39,0.8969245086490121,4,0.6000000000000001
79,0.8964933777696563,8,0.2
80,0.8950306667746611,8,0.30000000000000004
81,0.8940056859748111,8,0.4
71,0.8938926534119064,7,0.5
83,0.8935842933016968,8,0.6000000000000001
72,0.8923961150744393,7,0.6000000000000001
62,0.892152303611813,6,0.7000000000000001
92,0.8918132434630712,9,0.4
58,0.891513774221767,6,0.30000000000000004
89,0.8912281719670426,9,0.1
88,0.8912234104608059,9,0.0
100,0.8911409600607524,10,0.1
73,0.8909343741759974,7,0.7000000000000001
99,0.890866795920282,10,0.0
66,0.8908137880952387,7,0.0
57,0.8906674737073155,6,0.2
76,0.8890351268187568,7,1.0
102,0.8884998648026308,10,0.30000000000000004
85,0.8875331760925846,8,0.8
101,0.8855694149878641,10,0.2
70,0.8851833784650809,7,0.4
93,0.884930280715037,9,0.5
87,0.8825993649447994,8,1.0
94,0.8825860447860361,9,0.6000000000000001
97,0.8815566375004501,9,0.9
82,0.881472658785281,8,0.5
95,0.8788560147861526,9,0.7000000000000001
96,0.8767912135834468,9,0.8
107,0.8763087851642307,10,0.8
75,0.8746624980982155,7,0.9
98,0.8729476408750351,9,1.0
105,0.872599026008533,10,0.6000000000000001
91,0.8715107224052698,9,0.30000000000000004
104,0.8702345169326536,10,0.5
84,0.8696661952849984,8,0.7000000000000001
109,0.8678739057993947,10,1.0
103,0.865897175253455,10,0.4
108,0.8650677646490917,10,0.9
106,0.8649666302528933,10,0.7000000000000001
