,score,n_frames,min_coef
106,0.9249784908629245,10,0.7000000000000001
87,0.9221476412696752,8,1.0
95,0.9176531294061256,9,0.7000000000000001
68,0.9157858679242604,7,0.2
92,0.9155665908578943,9,0.4
97,0.9147707122068592,9,0.9
43,0.9137782814433486,4,1.0
53,0.9134627450610141,5,0.9
91,0.9131969586358866,9,0.30000000000000004
69,0.9130262312001683,7,0.30000000000000004
82,0.9124751980322147,8,0.5
77,0.9124395197285505,8,0.0
66,0.9121657725945083,7,0.0
76,0.9120708376208247,7,1.0
90,0.9117292575545918,9,0.2
107,0.911348249333599,10,0.8
75,0.911180784536224,7,0.9
58,0.9111768391762775,6,0.30000000000000004
62,0.9106534316016217,6,0.7000000000000001
96,0.910590536587297,9,0.8
65,0.9105629946531281,6,1.0
70,0.9103904197248995,7,0.4
56,0.9101394432239213,6,0.1
73,0.9098104513175965,7,0.7000000000000001
89,0.9097880986436516,9,0.1
83,0.9092136895526796,8,0.6000000000000001
50,0.9087417063838774,5,0.6000000000000001
49,0.9085553629260955,5,0.5
74,0.9082339660207126,7,0.8
64,0.9076835889028201,6,0.9
28,0.907230462778891,3,0.6000000000000001
42,0.9071506926421046,4,0.9
57,0.9067211497890268,6,0.2
80,0.9062769966173413,8,0.30000000000000004
46,0.9062110408376036,5,0.2
79,0.9060772063939349,8,0.2
101,0.9057049563512483,10,0.2
102,0.9052523983491424,10,0.30000000000000004
100,0.9048381352296093,10,0.1
88,0.9045518817700374,9,0.0
93,0.9043220522583206,9,0.5
67,0.9040576479901506,7,0.1
60,0.9037273069488878,6,0.5
61,0.9036922118958304,6,0.6000000000000001
84,0.9030530169050774,8,0.7000000000000001
59,0.902894254548162,6,0.4
41,0.9027545634929506,4,0.8
51,0.9026017467407973,5,0.7000000000000001
94,0.9023176705896543,9,0.6000000000000001
99,0.9022513801658606,10,0.0
29,0.9021935199176132,3,0.7000000000000001
34,0.9021003493341206,4,0.1
105,0.9018952487002213,10,0.6000000000000001
81,0.9017325756485739,8,0.4
104,0.9009450839061659,10,0.5
35,0.900285350640036,4,0.2
22,0.9001668900234074,3,0.0
38,0.8997789261579199,4,0.5
47,0.8997744391425948,5,0.30000000000000004
72,0.8997658315651336,7,0.6000000000000001
52,0.8997102087192654,5,0.8
63,0.8996647487610623,6,0.8
78,0.8995932375013915,8,0.1
109,0.899249719517749,10,1.0
26,0.8986518788161255,3,0.4
108,0.8984623181544851,10,0.9
37,0.8983865633011309,4,0.4
98,0.8981419231632277,9,1.0
31,0.8979870126837446,3,0.9
86,0.8975087915468206,8,0.9
54,0.8969939269655974,5,1.0
24,0.8969197738648124,3,0.2
85,0.8968514646942698,8,0.8
36,0.8958437294485012,4,0.30000000000000004
45,0.8955027030922171,5,0.1
32,0.8949328029029726,3,1.0
48,0.8948712424383315,5,0.4
27,0.8946068198222467,3,0.5
25,0.8945947632673384,3,0.30000000000000004
6,0.8945674866732096,1,1.0
40,0.8944127466583727,4,0.7000000000000001
13,0.8941643488533091,2,0.2
103,0.8941189930357544,10,0.4
7,0.8939253082018036,1,1.0
39,0.8936139314301906,4,0.6000000000000001
0,0.8934824407490514,1,1.0
1,0.8933260964614789,1,1.0
71,0.8931834860042249,7,0.5
30,0.8924328547035454,3,0.8
9,0.8921234017835481,1,1.0
11,0.8920259152769944,2,0.0
33,0.8914189663135543,4,0.0
15,0.8908807589131597,2,0.4
4,0.8907158656436455,1,1.0
16,0.8900510537530826,2,0.5
3,0.8889931273680931,1,1.0
12,0.8886287288530559,2,0.1
8,0.8883886108834755,1,1.0
5,0.8873078622588908,1,1.0
10,0.8865309415150824,1,1.0
44,0.8859890753000814,5,0.0
55,0.8848903039351997,6,0.0
19,0.8848182594502181,2,0.8
2,0.8829674476666604,1,1.0
21,0.8823870120992702,2,1.0
14,0.881359915146815,2,0.30000000000000004
20,0.8811575547475649,2,0.9
23,0.8811033928052838,3,0.1
18,0.8757449266563349,2,0.7000000000000001
17,0.8746498381914354,2,0.6000000000000001
