,score,n_frames,min_coef
12,0.9222874142981141,2,0.1
4,0.9213875933142817,1,1.0
11,0.9204099285526078,2,0.0
7,0.9202382756493639,1,1.0
9,0.9186810909132616,1,1.0
3,0.9185216994945147,1,1.0
8,0.9181041574741657,1,1.0
14,0.9179345745297551,2,0.30000000000000004
13,0.9172340489969748,2,0.2
5,0.9167449139081368,1,1.0
1,0.9162853868527426,1,1.0
10,0.9157192768716662,1,1.0
6,0.9154896559251535,1,1.0
2,0.9154775499256793,1,1.0
0,0.9152773341937518,1,1.0
15,0.9032701607593518,2,0.4
22,0.9020214337157549,3,0.0
24,0.9006580451608477,3,0.2
33,0.8994007084568965,4,0.0
25,0.8977883773153812,3,0.30000000000000004
17,0.8975917226293089,2,0.6000000000000001
21,0.896761152472374,2,1.0
20,0.8967177964461343,2,0.9
27,0.89639534870127,3,0.5
16,0.8956987639346374,2,0.5
23,0.8948914440345128,3,0.1
19,0.8935217337350508,2,0.8
26,0.8929689966735671,3,0.4
34,0.8927463990355952,4,0.1
18,0.8916128643868401,2,0.7000000000000001
28,0.8902433174064759,3,0.6000000000000001
29,0.8874442615193348,3,0.7000000000000001
35,0.8859430336928552,4,0.2
44,0.8844277911785042,5,0.0
30,0.8830312537939067,3,0.8
37,0.8725684177768415,4,0.4
31,0.870551464365627,3,0.9
46,0.8703360808922354,5,0.2
40,0.8696924450231072,4,0.7000000000000001
36,0.86882600107438,4,0.30000000000000004
55,0.8685332295374726,6,0.0
32,0.8681094583835021,3,1.0
38,0.8673930482619806,4,0.5
45,0.866153864504678,5,0.1
43,0.8648153324579082,4,1.0
47,0.8645892633390485,5,0.30000000000000004
39,0.862848486688655,4,0.6000000000000001
42,0.8626937925258726,4,0.9
56,0.8589793179620424,6,0.1
41,0.8586757915868468,4,0.8
66,0.8518097434015015,7,0.0
48,0.8498412243845312,5,0.4
57,0.8481384189863885,6,0.2
49,0.8466399259010263,5,0.5
68,0.8438056121259914,7,0.2
54,0.8420718964079444,5,1.0
53,0.8389463050647672,5,0.9
78,0.8379302433004152,8,0.1
67,0.8372234426445241,7,0.1
60,0.8365376499527789,6,0.5
59,0.8355603382694106,6,0.4
51,0.8355226409340897,5,0.7000000000000001
50,0.8348440180204587,5,0.6000000000000001
77,0.8342978327842449,8,0.0
58,0.8327671968124,6,0.30000000000000004
52,0.8320979352488678,5,0.8
69,0.821820545791416,7,0.30000000000000004
61,0.8192434625188586,6,0.6000000000000001
70,0.8168129876269326,7,0.4
88,0.8149554011163485,9,0.0
79,0.8123474525019212,8,0.2
89,0.8121876749518622,9,0.1
63,0.8119194952789645,6,0.8
62,0.8091834787377122,6,0.7000000000000001
64,0.8071187788974028,6,0.9
71,0.8037258079361962,7,0.5
81,0.802138131496543,8,0.4
80,0.8020932453927285,8,0.30000000000000004
73,0.7997371433517365,7,0.7000000000000001
72,0.7993708746874141,7,0.6000000000000001
75,0.7986690615922277,7,0.9
65,0.7984857853515288,6,1.0
91,0.7957322100204884,9,0.30000000000000004
74,0.7947735983211579,7,0.8
90,0.7922543696867062,9,0.2
82,0.7877198039023015,8,0.5
93,0.7845124568336975,9,0.5
76,0.7827070277857268,7,1.0
92,0.78237348805008,9,0.4
83,0.7800901451189148,8,0.6000000000000001
84,0.7741979082388526,8,0.7000000000000001
85,0.7707157073775412,8,0.8
86,0.7668508837402997,8,0.9
94,0.7626817742212607,9,0.6000000000000001
87,0.7590654470909852,8,1.0
97,0.7437067209495437,9,0.9
96,0.7425833804875138,9,0.8
98,0.7425201101058365,9,1.0
95,0.7388706492382769,9,0.7000000000000001
