,score,n_frames,min_coef
0,0.8893219438983323,1,1.0
10,0.8893219438983323,1,1.0
22,0.8893219438983323,3,0.0
16,0.8893219438983323,2,0.5
15,0.8893219438983323,2,0.4
14,0.8893219438983323,2,0.30000000000000004
13,0.8893219438983323,2,0.2
12,0.8893219438983323,2,0.1
11,0.8893219438983323,2,0.0
1,0.8893219438983323,1,1.0
9,0.8893219438983323,1,1.0
2,0.8893219438983323,1,1.0
7,0.8893219438983323,1,1.0
6,0.8893219438983323,1,1.0
5,0.8893219438983323,1,1.0
4,0.8893219438983323,1,1.0
3,0.8893219438983323,1,1.0
8,0.8893219438983323,1,1.0
31,0.8868933431473,3,0.9
23,0.8864917688498022,3,0.1
32,0.8839236257475929,3,1.0
30,0.8810605567734655,3,0.8
29,0.8810605567734655,3,0.7000000000000001
17,0.8806827356164428,2,0.6000000000000001
36,0.8783360320602117,4,0.30000000000000004
38,0.8768377987476633,4,0.5
45,0.8764709408808585,5,0.1
24,0.8729465513422161,3,0.2
25,0.8723856054383126,3,0.30000000000000004
33,0.8720704157421174,4,0.0
37,0.872018678738231,4,0.4
26,0.8717866543999959,3,0.4
27,0.8712351569597004,3,0.5
28,0.8712351569597004,3,0.6000000000000001
34,0.8706477297522224,4,0.1
35,0.8703578665564871,4,0.2
46,0.8695931445365301,5,0.2
55,0.8695931445365301,6,0.0
44,0.8692518851223419,5,0.0
56,0.8674356061969399,6,0.1
47,0.8669357039989508,5,0.30000000000000004
41,0.8668438805830847,4,0.8
40,0.8665404644542793,4,0.7000000000000001
39,0.8662425551893165,4,0.6000000000000001
42,0.8662357209892562,4,0.9
66,0.8659574381887964,7,0.0
43,0.8656160003787778,4,1.0
57,0.8651932355038416,6,0.2
48,0.8647826388615586,5,0.4
49,0.863752498886357,5,0.5
67,0.8630494539380885,7,0.1
58,0.8629460639763625,6,0.30000000000000004
68,0.8627175290525566,7,0.2
50,0.8626513145350984,5,0.6000000000000001
77,0.8625014721423556,8,0.0
59,0.8616724149663721,6,0.4
51,0.861292667983211,5,0.7000000000000001
18,0.8606773996121699,2,0.7000000000000001
19,0.8606773996121699,2,0.8
20,0.860134545376425,2,0.9
21,0.8595903880510107,2,1.0
52,0.8575000199409587,5,0.8
78,0.8568713363645669,8,0.1
60,0.8559614131172403,6,0.5
69,0.8546441426239901,7,0.30000000000000004
53,0.8543402677854244,5,0.9
88,0.854207976272462,9,0.0
70,0.8533295083767676,7,0.4
79,0.8530432699959742,8,0.2
64,0.853018957220191,6,0.9
62,0.8527235877880577,6,0.7000000000000001
63,0.852256564386541,6,0.8
61,0.8512999503249125,6,0.6000000000000001
89,0.8509220991461035,9,0.1
99,0.8505370478501646,10,0.0
71,0.850479197355044,7,0.5
65,0.8501051758847644,6,1.0
80,0.8494252265468786,8,0.30000000000000004
90,0.8459192455285652,9,0.2
81,0.8445718631919572,8,0.4
100,0.8445433228744894,10,0.1
54,0.8443047110154931,5,1.0
72,0.8439326736514141,7,0.6000000000000001
73,0.8428448818562131,7,0.7000000000000001
91,0.838757543033877,9,0.30000000000000004
82,0.838084506076723,8,0.5
74,0.8377965667458092,7,0.8
101,0.8369336887759122,10,0.2
75,0.8344441268649069,7,0.9
83,0.8340993552064871,8,0.6000000000000001
92,0.8333224698942965,9,0.4
76,0.8323926879941601,7,1.0
84,0.8307935252506591,8,0.7000000000000001
102,0.8297810804389982,10,0.30000000000000004
93,0.8295772840106835,9,0.5
85,0.8276018422425422,8,0.8
94,0.8227723683149222,9,0.6000000000000001
103,0.8223862093936225,10,0.4
86,0.8208311036889795,8,0.9
87,0.8180719711387077,8,1.0
95,0.8167897532842197,9,0.7000000000000001
96,0.8134242896543228,9,0.8
104,0.812281190273383,10,0.5
97,0.8103691335699587,9,0.9
105,0.8087504255471532,10,0.6000000000000001
98,0.8078478242135747,9,1.0
106,0.8067009238178976,10,0.7000000000000001
107,0.8002845581895425,10,0.8
108,0.7976393116607406,10,0.9
109,0.789722092479806,10,1.0
