,score,n_frames,min_coef
76,0.8590978881216798,7,1.0
65,0.8585357560903834,6,1.0
32,0.8585238817259958,3,1.0
75,0.8584835349788242,7,0.9
31,0.8583546463343081,3,0.9
64,0.8582696375033219,6,0.9
102,0.8563523908245567,10,0.30000000000000004
74,0.8562496101921273,7,0.8
94,0.8561603770693841,9,0.6000000000000001
63,0.8560890947072283,6,0.8
73,0.8560451810606822,7,0.7000000000000001
93,0.8558265404493784,9,0.5
103,0.8555867284503507,10,0.4
104,0.855548845192143,10,0.5
107,0.855353225913858,10,0.8
62,0.8552452128506882,6,0.7000000000000001
92,0.8551267841634378,9,0.4
101,0.8548338269736859,10,0.2
84,0.8548122726046138,8,0.7000000000000001
98,0.8547299952616763,9,1.0
109,0.8546846332517923,10,1.0
106,0.8546156018168143,10,0.7000000000000001
105,0.8544275644567125,10,0.6000000000000001
83,0.8543280739773411,8,0.6000000000000001
85,0.854293061418556,8,0.8
96,0.8541421125036159,9,0.8
95,0.8540517035942348,9,0.7000000000000001
108,0.854016983282284,10,0.9
81,0.8540123005041551,8,0.4
100,0.8539992720275297,10,0.1
97,0.8539525913584424,9,0.9
91,0.8539506925935963,9,0.30000000000000004
30,0.8537819805869615,3,0.8
72,0.8537287400228646,7,0.6000000000000001
82,0.8534624925077002,8,0.5
61,0.8532821293848756,6,0.6000000000000001
67,0.8532298215269691,7,0.1
90,0.8531392133316412,9,0.2
89,0.8531284584924018,9,0.1
99,0.8528499069603684,10,0.0
71,0.8528009274487534,7,0.5
79,0.8527600357773162,8,0.2
86,0.8526697341889813,8,0.9
29,0.8523653828302271,3,0.7000000000000001
80,0.8523345154149455,8,0.30000000000000004
59,0.8521950255844803,6,0.4
58,0.8519702229661579,6,0.30000000000000004
55,0.851945176367337,6,0.0
46,0.851945176367337,5,0.2
70,0.851764588051285,7,0.4
48,0.8516173010530188,5,0.4
77,0.8515918561021888,8,0.0
68,0.8513071720463019,7,0.2
60,0.851221870889715,6,0.5
69,0.8509541984985176,7,0.30000000000000004
87,0.8508928463066734,8,1.0
49,0.8508714162651593,5,0.5
88,0.8505268994137808,9,0.0
57,0.8503802926471771,6,0.2
66,0.8502254902718367,7,0.0
78,0.8498731675202513,8,0.1
50,0.8498001280662857,5,0.6000000000000001
51,0.8498001280662857,5,0.7000000000000001
52,0.8490823743640723,5,0.8
54,0.8490660660760152,5,1.0
53,0.8487121580336956,5,0.9
45,0.8487070346803434,5,0.1
56,0.8484942183231785,6,0.1
37,0.8481176679443502,4,0.4
39,0.8480546439605968,4,0.6000000000000001
38,0.8480546439605968,4,0.5
36,0.8479546517407591,4,0.30000000000000004
47,0.8476391795896138,5,0.30000000000000004
44,0.8463996739808742,5,0.0
35,0.8459322786005143,4,0.2
18,0.8453692559944755,2,0.7000000000000001
20,0.8453692559944755,2,0.9
19,0.8453692559944755,2,0.8
16,0.8453692559944755,2,0.5
25,0.8453692559944755,3,0.30000000000000004
24,0.8453692559944755,3,0.2
23,0.8453692559944755,3,0.1
22,0.8453692559944755,3,0.0
17,0.8453692559944755,2,0.6000000000000001
34,0.8452844812416274,4,0.1
28,0.8452844812416274,3,0.6000000000000001
27,0.8452844812416274,3,0.5
26,0.8452844812416274,3,0.4
33,0.8452358558393923,4,0.0
40,0.8451402777604683,4,0.7000000000000001
21,0.8449025225060591,2,1.0
41,0.8446435656726503,4,0.8
42,0.8406695282963952,4,0.9
15,0.8365287582993307,2,0.4
43,0.8363826241392032,4,1.0
8,0.8153478465062595,1,1.0
2,0.8153478465062595,1,1.0
3,0.8153478465062595,1,1.0
4,0.8153478465062595,1,1.0
5,0.8153478465062595,1,1.0
6,0.8153478465062595,1,1.0
7,0.8153478465062595,1,1.0
11,0.8153478465062595,2,0.0
9,0.8153478465062595,1,1.0
10,0.8153478465062595,1,1.0
12,0.8153478465062595,2,0.1
13,0.8153478465062595,2,0.2
14,0.8153478465062595,2,0.30000000000000004
1,0.8153478465062595,1,1.0
0,0.8153478465062595,1,1.0
