,score,n_frames,min_coef
3,0.8574344891991952,1,1.0
6,0.8518006893659844,1,1.0
4,0.8496332342113051,1,1.0
13,0.8489263598910209,2,0.2
10,0.8477238025049892,1,1.0
7,0.8460849251077299,1,1.0
8,0.845666584733217,1,1.0
18,0.8391346741154464,2,0.7000000000000001
1,0.8375606510513454,1,1.0
12,0.8356541255322488,2,0.1
25,0.833659631752264,3,0.30000000000000004
9,0.8316332832975382,1,1.0
2,0.8298981725341019,1,1.0
16,0.8268776312938794,2,0.5
23,0.8261911145371107,3,0.1
5,0.825362749727061,1,1.0
21,0.8228062157586779,2,1.0
17,0.8216757623894082,2,0.6000000000000001
14,0.8198933124216987,2,0.30000000000000004
24,0.8184305072629947,3,0.2
19,0.8176045182696041,2,0.8
33,0.8175611061791237,4,0.0
11,0.8147448963949561,2,0.0
20,0.8073647628886647,2,0.9
22,0.8063167292417047,3,0.0
0,0.7983299456163481,1,1.0
15,0.7920108962473802,2,0.4
35,0.790520524733383,4,0.2
29,0.7843791909719144,3,0.7000000000000001
26,0.7834546428513949,3,0.4
27,0.7818550969395386,3,0.5
34,0.7720272280329891,4,0.1
28,0.7654672592594213,3,0.6000000000000001
45,0.7639155059370738,5,0.1
36,0.755878277525042,4,0.30000000000000004
32,0.7460735610321111,3,1.0
56,0.7437900823139609,6,0.1
30,0.7430636404694637,3,0.8
44,0.741495919142427,5,0.0
38,0.7372856430118152,4,0.5
55,0.7330080773875289,6,0.0
39,0.7319376868597576,4,0.6000000000000001
31,0.7305392195680821,3,0.9
47,0.7253225279641624,5,0.30000000000000004
48,0.7104620373736346,5,0.4
46,0.7018977226751983,5,0.2
40,0.7015808022294696,4,0.7000000000000001
66,0.6975665442545114,7,0.0
37,0.6909422653664238,4,0.4
41,0.6691117717923725,4,0.8
42,0.6630375672127532,4,0.9
67,0.6625645432998374,7,0.1
49,0.6434081205297653,5,0.5
57,0.6428901502474007,6,0.2
61,0.6359383939534498,6,0.6000000000000001
50,0.6343230622737333,5,0.6000000000000001
77,0.6300462467459187,8,0.0
58,0.6255941649080019,6,0.30000000000000004
51,0.6225629768857103,5,0.7000000000000001
43,0.6217939560153763,4,1.0
60,0.6184426475149665,6,0.5
78,0.6153352890329877,8,0.1
53,0.6119905885635222,5,0.9
52,0.6103911188692644,5,0.8
68,0.6098756435580557,7,0.2
59,0.605253670220733,6,0.4
63,0.5964532536322983,6,0.8
79,0.5958724740661184,8,0.2
54,0.5922598871938207,5,1.0
69,0.5917226185395199,7,0.30000000000000004
89,0.591661983150032,9,0.1
80,0.590300166948548,8,0.30000000000000004
99,0.5843610783094226,10,0.0
64,0.5833751245163121,6,0.9
90,0.5803157301141975,9,0.2
88,0.5801527392104479,9,0.0
70,0.5779143977372309,7,0.4
100,0.572785078897373,10,0.1
72,0.5727132021303566,7,0.6000000000000001
62,0.5705520701229574,6,0.7000000000000001
81,0.5680508906118662,8,0.4
71,0.5638791480466101,7,0.5
82,0.563223639565063,8,0.5
91,0.5605892343385664,9,0.30000000000000004
101,0.5571158427117853,10,0.2
103,0.5439824572837313,10,0.4
73,0.5398045948976049,7,0.7000000000000001
83,0.537680890674191,8,0.6000000000000001
74,0.5347773590442333,7,0.8
92,0.5343263728037027,9,0.4
86,0.5220212599506252,8,0.9
102,0.5184536789212584,10,0.30000000000000004
75,0.5135570674097757,7,0.9
65,0.5132149541974516,6,1.0
85,0.5087108262213577,8,0.8
93,0.5081609976862322,9,0.5
94,0.5031542630517573,9,0.6000000000000001
84,0.49240137890662067,8,0.7000000000000001
87,0.4703878132363246,8,1.0
76,0.4646679490906565,7,1.0
104,0.46433629513244573,10,0.5
95,0.4550453097625432,9,0.7000000000000001
98,0.43528303086562714,9,1.0
106,0.43394493356524233,10,0.7000000000000001
108,0.43386802530227475,10,0.9
105,0.4283781488331343,10,0.6000000000000001
96,0.42670720415418095,9,0.8
107,0.4163139258393344,10,0.8
109,0.41262767738899575,10,1.0
97,0.38753272098565283,9,0.9
