,score,n_frames,min_coef
7,0.846938584055646,1,1.0
5,0.8374661278542328,1,1.0
1,0.8335724805402785,1,1.0
2,0.8333922439567601,1,1.0
18,0.8290461021140445,2,0.7000000000000001
4,0.8284590030202679,1,1.0
22,0.8279175504856674,3,0.0
8,0.8250118073173104,1,1.0
9,0.823569268832433,1,1.0
25,0.819551174734104,3,0.30000000000000004
11,0.8139124921370131,2,0.0
12,0.8106306438332472,2,0.1
20,0.8100526158697635,2,0.9
10,0.8098133083020442,1,1.0
21,0.8095957438328142,2,1.0
23,0.8090826632397281,3,0.1
16,0.8076746754785133,2,0.5
19,0.805117380525672,2,0.8
3,0.8044978281046481,1,1.0
15,0.8037905054494917,2,0.4
14,0.8023451259630141,2,0.30000000000000004
13,0.8018603756726218,2,0.2
24,0.8016838249634464,3,0.2
17,0.7966028000047904,2,0.6000000000000001
0,0.7963929385605123,1,1.0
29,0.7959407127624774,3,0.7000000000000001
6,0.78818883199267,1,1.0
26,0.7857841126881374,3,0.4
28,0.7814741609288671,3,0.6000000000000001
33,0.7802323174572533,4,0.0
27,0.7801732991559907,3,0.5
34,0.7731689888789244,4,0.1
44,0.7691111676876503,5,0.0
45,0.7654698820754092,5,0.1
30,0.756785426731079,3,0.8
35,0.7546531972373887,4,0.2
36,0.7468344111028086,4,0.30000000000000004
37,0.7459105804798319,4,0.4
31,0.7445209267924627,3,0.9
46,0.7397455854041245,5,0.2
32,0.7354591249048353,3,1.0
39,0.7324328571004667,4,0.6000000000000001
38,0.731511510032189,4,0.5
47,0.7304103967168263,5,0.30000000000000004
56,0.727503077935673,6,0.1
55,0.7207388162423658,6,0.0
40,0.7061238068801095,4,0.7000000000000001
48,0.7030940124353041,5,0.4
42,0.7021840780893032,4,0.9
66,0.6999437737942426,7,0.0
41,0.6976516313464939,4,0.8
49,0.6783477375224523,5,0.5
57,0.6691998209616931,6,0.2
43,0.668462191932899,4,1.0
77,0.6677703369074734,8,0.0
58,0.6481551671206969,6,0.30000000000000004
68,0.6473324997795571,7,0.2
52,0.6366023957408049,5,0.8
78,0.635779289563382,8,0.1
67,0.6351204164081989,7,0.1
69,0.6319569174100874,7,0.30000000000000004
88,0.6265467025160121,9,0.0
59,0.6257071229834495,6,0.4
53,0.6253951694377913,5,0.9
50,0.6205801887183374,5,0.6000000000000001
51,0.6184474163838967,5,0.7000000000000001
70,0.6096382118738968,7,0.4
60,0.6093732697586571,6,0.5
99,0.6069775971693312,10,0.0
100,0.6022365531940077,10,0.1
79,0.6013076085974361,8,0.2
63,0.6004997486173956,6,0.8
101,0.5988152060819653,10,0.2
80,0.5966028181765545,8,0.30000000000000004
61,0.5962077104504521,6,0.6000000000000001
89,0.5957562133560982,9,0.1
90,0.588195910453274,9,0.2
54,0.5817958001190695,5,1.0
62,0.5732557941302829,6,0.7000000000000001
64,0.5689561077777251,6,0.9
83,0.5677002023351768,8,0.6000000000000001
82,0.5650931973707914,8,0.5
72,0.5637428439188886,7,0.6000000000000001
91,0.5613486483845153,9,0.30000000000000004
71,0.5585139249829336,7,0.5
73,0.5554094871281928,7,0.7000000000000001
65,0.5534798106970393,6,1.0
93,0.5470416636817346,9,0.5
81,0.5435632293110012,8,0.4
102,0.5422866593147836,10,0.30000000000000004
92,0.5420845352302639,9,0.4
75,0.5401462910759695,7,0.9
85,0.5327506697585332,8,0.8
84,0.5177203406298145,8,0.7000000000000001
103,0.5169203764985557,10,0.4
74,0.5135777340510121,7,0.8
76,0.5091380403576474,7,1.0
104,0.4988487572087103,10,0.5
86,0.4940931875142402,8,0.9
94,0.49313158852554323,9,0.6000000000000001
106,0.4792584024646991,10,0.7000000000000001
105,0.4746310951565091,10,0.6000000000000001
96,0.4452329038064186,9,0.8
97,0.44226394838948463,9,0.9
98,0.4394051936504031,9,1.0
87,0.43718592746931384,8,1.0
95,0.4365789076121239,9,0.7000000000000001
108,0.4335125312260827,10,0.9
109,0.4283665556310747,10,1.0
107,0.42766230601058436,10,0.8
